Service,EC2-Other ($),EC2-Instances ($),EC2-ELB ($),Total cost ($)
Service Total,1.78738498,25.04696997,6.12588579,32.96024074
2016-09-06,1.78738498,25.04696997,6.12588579,32.96024074
