Operation,Not Applicable ($),CreateDBInstance ($),CreateDBInstance:0002 ($),CreateDBInstance:0016 ($),Total cost ($)
Operation Total,0.033724660000000004,0.47767397,1.248,15.36,17.119398630000003
2016-09-06,0.033724660000000004,0.47767397,1.248,15.36,17.119398630000003
