Operation,Not Applicable ($),CreateDBInstance ($),CreateDBInstance:0002 ($),CreateDBInstance:0014 ($),CreateDBInstance:0016 ($),Total cost ($)
Operation Total,0.00033065,0.10191228,0.26,0.10,3.20,3.66224293
2016-09-12,0.00033065,0.10191228,0.26,0.1,3.2,3.66224293
