Operation,Not Applicable ($),CreateDBInstance ($),CreateDBInstance:0002 ($),CreateDBInstance:0016 ($),Total cost ($)
Operation Total,0.0004925999999999999,0.09827979,0.26,3.20,3.55877239
2016-09-09,0.0004925999999999999,0.09827979,0.26,3.2,3.55877239
