InstanceType,db.r3.large ($),db.t1.micro ($),db.t2.micro ($),No InstanceType ($),Total cost ($)
InstanceType Total,3.20,0.175,0.085,0.09877239,3.55877239
2016-09-09,3.2,0.175,0.085,0.09877239,3.55877239
