Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 11:00:00,08/06/16 12:00:00,304
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 12:00:00,08/06/16 13:00:00,228
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 12:00:00,08/06/16 13:00:00,5261936
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 12:00:00,08/06/16 13:00:00,2035
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 12:00:00,08/06/16 13:00:00,836
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 12:00:00,08/06/16 13:00:00,836
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 12:00:00,08/06/16 13:00:00,228
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 12:00:00,08/06/16 13:00:00,1
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 12:00:00,08/06/16 13:00:00,107374182400
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 12:00:00,08/06/16 13:00:00,453016
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 13:00:00,08/06/16 14:00:00,684
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 13:00:00,08/06/16 14:00:00,2030
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 13:00:00,08/06/16 14:00:00,760
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 13:00:00,08/06/16 14:00:00,304
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 13:00:00,08/06/16 14:00:00,443841
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 13:00:00,08/06/16 14:00:00,304
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 13:00:00,08/06/16 14:00:00,107374182400
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 13:00:00,08/06/16 14:00:00,5179248
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 13:00:00,08/06/16 14:00:00,1
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 14:00:00,08/06/16 15:00:00,464702
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 14:00:00,08/06/16 15:00:00,2077
