# db ordereq orderneq contains manyfiles
0 postgres 0.25 0.28 0.34 0.27
1 couch 0.13 14.32 14.29 4.41
2 crate 0.03 4.46 1.37 0.81
3 mongo 0.28 0.21 0.36 0.28
4 mysql 0.34 4.33 2.26 1.38
