InstanceType,t2.large ($),c3.large ($),t2.medium ($),t2.micro ($),No InstanceType ($),Total cost ($)
InstanceType Total,4.20,0.645,0.30,0.056,1.25933075,6.46033075
2016-09-09,4.2,0.645,0.3,0.056,1.25933075,6.46033075
