Operation,RunInstances ($),LoadBalancing ($),PublicIP-In ($),PublicIP-Out ($),CreateVolume-Gp2 ($),CreateVolume ($),EU-TimedStorage-ByteHrs ($),MetricStorage:AWS/EC2 ($),Unknown ($),Total cost ($)
Operation Total,5.20432627,1.05005342,0.00002137,0.0000227,0.20398340999999998,0.00183333,0.00009025,0.00,0.00,6.46033075
2016-09-09,5.20432627,1.05005342,0.00002137,0.0000227,0.20398340999999998,0.00183333,0.00009025,0.0,0.0,6.46033075
