Operation,Not Applicable ($),CreateDBInstance ($),CreateDBInstance:0002 ($),CreateDBInstance:0016 ($),Total cost ($)
Operation Total,0.00032619,0.09816754,0.26,3.20,3.55849373
2016-09-08,0.00032619,0.09816754,0.26,3.2,3.55849373
