Operation,RunInstances ($),PublicIP-In ($),PublicIP-Out ($),LoadBalancing ($),CreateVolume-Gp2 ($),CreateVolume ($),MetricStorage:AWS/EC2 ($),Unknown ($),Total cost ($)
Operation Total,4.83118733,0.00002132,0.00002136,0.90004904,0.14098894,0.00122222,0.00,0.00,5.873490210000001
2016-09-07,4.83118733,0.00002132,0.00002136,0.90004904,0.14098894,0.00122222,0.0,0.0,5.873490210000001
