InstanceType,t2.large ($),c3.large ($),t2.medium ($),t2.micro ($),No InstanceType ($),Total cost ($)
InstanceType Total,4.20,0.258,0.30,0.07,1.04549021,5.873490210000001
2016-09-07,4.2,0.258,0.3,0.07,1.04549021,5.873490210000001
