Operation,RunInstances ($),LoadBalancing ($),PublicIP-In ($),PublicIP-Out ($),CreateVolume-Gp2 ($),CreateVolume ($),EU-TimedStorage-ByteHrs ($),MetricStorage:AWS/EC2 ($),Unknown ($),Total cost ($)
Operation Total,4.9002119,1.20006097,0.00002142,0.00002143,0.13598894,0.00122222,0.0000722,0.00,0.00,6.23759908
2016-09-12,4.9002119,1.20006097,0.00002142,0.00002143,0.13598894,0.00122222,0.0000722,0.0,0.0,6.23759908
