InstanceType,t2.large ($),c3.large ($),t2.medium ($),t2.micro ($),No InstanceType ($),Total cost ($)
InstanceType Total,4.20,0.387,0.24,0.07,1.34059908,6.23759908
2016-09-12,4.2,0.387,0.24,0.07,1.34059908,6.23759908
