InstanceType,db.r3.large ($),db.t1.micro ($),db.t2.micro ($),No InstanceType ($),Total cost ($)
InstanceType Total,3.20,0.175,0.085,0.09889073000000001,3.55889073
2016-09-07,3.2,0.175,0.085,0.09889073000000001,3.55889073
