Operation,Not Applicable ($),CreateDBInstance ($),CreateDBInstance:0002 ($),CreateDBInstance:0016 ($),Total cost ($)
Operation Total,0.00053844,0.09835229000000001,0.26,3.20,3.55889073
2016-09-07,0.00053844,0.09835229000000001,0.26,3.2,3.55889073
