InstanceType,t2.large ($),c3.large ($),t2.medium ($),t2.micro ($),No InstanceType ($),Total cost ($)
InstanceType Total,4.20,0.387,0.30,0.07,1.1899676700000001,6.14696767
2016-09-08,4.2,0.387,0.3,0.07,1.1899676700000001,6.14696767
