Operation,RunInstances ($),PublicIP-In ($),PublicIP-Out ($),LoadBalancing ($),CreateVolume-Gp2 ($),CreateVolume ($),EU-TimedStorage-ByteHrs ($),MetricStorage:AWS/EC2 ($),Unknown ($),Total cost ($)
Operation Total,4.95956668,0.0000171,0.000027559999999999997,1.05005492,0.13598894,0.00122222,0.00009025,0.00,0.00,6.14696767
2016-09-08,4.95956668,0.0000171,0.000027559999999999997,1.05005492,0.13598894,0.00122222,0.00009025,0.0,0.0,6.14696767
