sep=;
Time;Usage;Limit;Request
2016-12-08T14:48:00.000Z;162;248;768
2016-12-08T14:48:10.000Z;null;null;null
2016-12-08T14:48:20.000Z;null;null;null
2016-12-08T14:48:30.000Z;null;null;null
2016-12-08T14:48:40.000Z;null;null;null
2016-12-08T14:48:50.000Z;null;null;null
2016-12-08T14:49:00.000Z;159;248;768
2016-12-08T14:49:10.000Z;null;null;null
2016-12-08T14:49:20.000Z;null;null;null
2016-12-08T14:49:30.000Z;null;null;null
2016-12-08T14:49:40.000Z;null;null;null
2016-12-08T14:49:50.000Z;null;null;null
2016-12-08T14:50:00.000Z;156;248;1068
2016-12-08T14:50:10.000Z;null;null;null
2016-12-08T14:50:20.000Z;null;null;null
2016-12-08T14:50:30.000Z;null;null;null
2016-12-08T14:50:40.000Z;null;null;null
2016-12-08T14:50:50.000Z;null;null;null
2016-12-08T14:51:00.000Z;178;248;1068
2016-12-08T14:51:10.000Z;null;null;null
2016-12-08T14:51:20.000Z;null;null;null
2016-12-08T14:51:30.000Z;null;null;null
2016-12-08T14:51:40.000Z;null;null;null
2016-12-08T14:51:50.000Z;null;null;null
2016-12-08T14:52:00.000Z;144;248;1068
2016-12-08T14:52:10.000Z;null;null;null
2016-12-08T14:52:20.000Z;null;null;null
2016-12-08T14:52:30.000Z;null;null;null
2016-12-08T14:52:40.000Z;null;null;null
2016-12-08T14:52:50.000Z;null;null;null
2016-12-08T14:53:00.000Z;257;248;1068
2016-12-08T14:53:10.000Z;null;null;null
2016-12-08T14:53:20.000Z;null;null;null
2016-12-08T14:53:30.000Z;null;null;null
2016-12-08T14:53:40.000Z;null;null;null
2016-12-08T14:53:50.000Z;null;null;null
2016-12-08T14:54:00.000Z;276;248;1068
2016-12-08T14:54:10.000Z;null;null;null
2016-12-08T14:54:20.000Z;null;null;null
2016-12-08T14:54:30.000Z;null;null;null
2016-12-08T14:54:40.000Z;null;null;null
2016-12-08T14:54:50.000Z;null;null;null
2016-12-08T14:55:00.000Z;271;248;1068
2016-12-08T14:55:10.000Z;null;null;null
2016-12-08T14:55:20.000Z;null;null;null
2016-12-08T14:55:30.000Z;null;null;null
2016-12-08T14:55:40.000Z;null;null;null
2016-12-08T14:55:50.000Z;null;null;null
2016-12-08T14:56:00.000Z;275;248;1068
2016-12-08T14:56:10.000Z;null;null;null
2016-12-08T14:56:20.000Z;null;null;null
2016-12-08T14:56:30.000Z;null;null;null
2016-12-08T14:56:40.000Z;null;null;null
2016-12-08T14:56:50.000Z;null;null;null
2016-12-08T14:57:00.000Z;314;248;1068
2016-12-08T14:57:10.000Z;null;null;null
2016-12-08T14:57:20.000Z;null;null;null
2016-12-08T14:57:30.000Z;null;null;null
2016-12-08T14:57:40.000Z;null;null;null
2016-12-08T14:57:50.000Z;null;null;null
2016-12-08T14:58:00.000Z;274;248;1068
2016-12-08T14:58:10.000Z;null;null;null
2016-12-08T14:58:20.000Z;null;null;null
2016-12-08T14:58:30.000Z;null;null;null
2016-12-08T14:58:40.000Z;null;null;null
2016-12-08T14:58:50.000Z;null;null;null
2016-12-08T14:59:00.000Z;287;248;1068
2016-12-08T14:59:10.000Z;null;null;null
2016-12-08T14:59:20.000Z;null;null;null
2016-12-08T14:59:30.000Z;null;null;null
2016-12-08T14:59:40.000Z;null;null;null
2016-12-08T14:59:50.000Z;null;null;null
2016-12-08T15:00:00.000Z;135;248;668
2016-12-08T15:00:10.000Z;null;null;null
2016-12-08T15:00:20.000Z;null;null;null
2016-12-08T15:00:30.000Z;null;null;null
2016-12-08T15:00:40.000Z;null;null;null
2016-12-08T15:00:50.000Z;null;null;null
2016-12-08T15:01:00.000Z;128;248;668
2016-12-08T15:01:10.000Z;null;null;null
2016-12-08T15:01:20.000Z;null;null;null
2016-12-08T15:01:30.000Z;null;null;null
2016-12-08T15:01:40.000Z;null;null;null
2016-12-08T15:01:50.000Z;null;null;null
2016-12-08T15:02:00.000Z;129;248;668
2016-12-08T15:02:10.000Z;null;null;null
