sep=;
Time;Tx;Rx
2016-12-08T14:48:20.000Z;null;null
2016-12-08T14:48:30.000Z;null;null
2016-12-08T14:48:40.000Z;null;null
2016-12-08T14:48:50.000Z;null;null
2016-12-08T14:49:00.000Z;51514.483642578125;21123.230346679688
2016-12-08T14:49:10.000Z;null;null
2016-12-08T14:49:20.000Z;null;null
2016-12-08T14:49:30.000Z;null;null
2016-12-08T14:49:40.000Z;null;null
2016-12-08T14:49:50.000Z;null;null
2016-12-08T14:50:00.000Z;50325.573974609375;16686.7158203125
2016-12-08T14:50:10.000Z;null;null
2016-12-08T14:50:20.000Z;null;null
2016-12-08T14:50:30.000Z;null;null
2016-12-08T14:50:40.000Z;null;null
2016-12-08T14:50:50.000Z;null;null
2016-12-08T14:51:00.000Z;57186.954833984375;33284.60607910156
2016-12-08T14:51:10.000Z;null;null
2016-12-08T14:51:20.000Z;null;null
2016-12-08T14:51:30.000Z;null;null
2016-12-08T14:51:40.000Z;null;null
2016-12-08T14:51:50.000Z;null;null
2016-12-08T14:52:00.000Z;47020.966552734375;22213.29931640625
2016-12-08T14:52:10.000Z;null;null
2016-12-08T14:52:20.000Z;null;null
2016-12-08T14:52:30.000Z;null;null
2016-12-08T14:52:40.000Z;null;null
2016-12-08T14:52:50.000Z;null;null
2016-12-08T14:53:00.000Z;82197.39697265625;34045.95068359375
2016-12-08T14:53:10.000Z;null;null
2016-12-08T14:53:20.000Z;null;null
2016-12-08T14:53:30.000Z;null;null
2016-12-08T14:53:40.000Z;null;null
2016-12-08T14:53:50.000Z;null;null
2016-12-08T14:54:00.000Z;82951.61303710938;33722.05712890625
2016-12-08T14:54:10.000Z;null;null
2016-12-08T14:54:20.000Z;null;null
2016-12-08T14:54:30.000Z;null;null
2016-12-08T14:54:40.000Z;null;null
2016-12-08T14:54:50.000Z;null;null
2016-12-08T14:55:00.000Z;80367.12841796875;31835.041748046875
2016-12-08T14:55:10.000Z;null;null
2016-12-08T14:55:20.000Z;null;null
2016-12-08T14:55:30.000Z;null;null
2016-12-08T14:55:40.000Z;null;null
2016-12-08T14:55:50.000Z;null;null
2016-12-08T14:56:00.000Z;84008.03491210938;33382.434814453125
