sep=;
Time;Tx kubernetes-arkis-if0s;Rx kubernetes-arkis-if0s
2016-12-08T14:25:00.000Z;null;null
2016-12-08T14:25:10.000Z;null;null
2016-12-08T14:25:20.000Z;null;null
2016-12-08T14:25:30.000Z;null;null
2016-12-08T14:25:40.000Z;null;null
2016-12-08T14:25:50.000Z;null;null
2016-12-08T14:26:00.000Z;null;null
2016-12-08T14:26:10.000Z;null;null
2016-12-08T14:26:20.000Z;null;null
2016-12-08T14:26:30.000Z;null;null
2016-12-08T14:26:40.000Z;null;null
2016-12-08T14:26:50.000Z;null;null
2016-12-08T14:27:00.000Z;null;null
2016-12-08T14:27:10.000Z;null;null
2016-12-08T14:27:20.000Z;null;null
2016-12-08T14:27:30.000Z;null;null
2016-12-08T14:27:40.000Z;null;null
2016-12-08T14:27:50.000Z;null;null
2016-12-08T14:28:00.000Z;28229.720703125;4550.64794921875
2016-12-08T14:28:10.000Z;null;null
2016-12-08T14:28:20.000Z;null;null
2016-12-08T14:28:30.000Z;null;null
2016-12-08T14:28:40.000Z;null;null
2016-12-08T14:28:50.000Z;null;null
2016-12-08T14:29:00.000Z;28698.65625;6790.365234375
2016-12-08T14:29:10.000Z;null;null
2016-12-08T14:29:20.000Z;null;null
2016-12-08T14:29:30.000Z;null;null
2016-12-08T14:29:40.000Z;null;null
2016-12-08T14:29:50.000Z;null;null
2016-12-08T14:30:00.000Z;30620.82421875;8336.865234375
2016-12-08T14:30:10.000Z;null;null
2016-12-08T14:30:20.000Z;null;null
2016-12-08T14:30:30.000Z;null;null
2016-12-08T14:30:40.000Z;null;null
2016-12-08T14:30:50.000Z;null;null
2016-12-08T14:31:00.000Z;32655.490234375;11137.333984375
2016-12-08T14:31:10.000Z;null;null
2016-12-08T14:31:20.000Z;null;null
2016-12-08T14:31:30.000Z;null;null
2016-12-08T14:31:40.000Z;null;null
2016-12-08T14:31:50.000Z;null;null
2016-12-08T14:32:00.000Z;35434.63671875;12598.95703125
2016-12-08T14:32:10.000Z;null;null
2016-12-08T14:32:20.000Z;null;null
2016-12-08T14:32:30.000Z;null;null
2016-12-08T14:32:40.000Z;null;null
2016-12-08T14:32:50.000Z;null;null
2016-12-08T14:33:00.000Z;30472.640625;10212.375
2016-12-08T14:33:10.000Z;null;null
2016-12-08T14:33:20.000Z;null;null
2016-12-08T14:33:30.000Z;null;null
2016-12-08T14:33:40.000Z;null;null
2016-12-08T14:33:50.000Z;null;null
2016-12-08T14:34:00.000Z;39169.8984375;53036.30078125
2016-12-08T14:34:10.000Z;null;null
2016-12-08T14:34:20.000Z;null;null
2016-12-08T14:34:30.000Z;null;null
2016-12-08T14:34:40.000Z;null;null
2016-12-08T14:34:50.000Z;null;null
2016-12-08T14:35:00.000Z;41860.91015625;49263.828125
2016-12-08T14:35:10.000Z;null;null
2016-12-08T14:35:20.000Z;null;null
2016-12-08T14:35:30.000Z;null;null
2016-12-08T14:35:40.000Z;null;null
2016-12-08T14:35:50.000Z;null;null
2016-12-08T14:36:00.000Z;32610.54296875;11011.0791015625
2016-12-08T14:36:10.000Z;null;null
2016-12-08T14:36:20.000Z;null;null
2016-12-08T14:36:30.000Z;null;null
2016-12-08T14:36:40.000Z;null;null
2016-12-08T14:36:50.000Z;null;null
2016-12-08T14:37:00.000Z;32647.603515625;11659.2275390625
2016-12-08T14:37:10.000Z;null;null
2016-12-08T14:37:20.000Z;null;null
2016-12-08T14:37:30.000Z;null;null
2016-12-08T14:37:40.000Z;null;null
2016-12-08T14:37:50.000Z;null;null
2016-12-08T14:38:00.000Z;33227.08203125;11564.8828125
2016-12-08T14:38:10.000Z;null;null
2016-12-08T14:38:20.000Z;null;null
2016-12-08T14:38:30.000Z;null;null
2016-12-08T14:38:40.000Z;null;null
2016-12-08T14:38:50.000Z;null;null
2016-12-08T14:39:00.000Z;38605.40625;43771.66015625
2016-12-08T14:39:10.000Z;null;null
2016-12-08T14:39:20.000Z;null;null
2016-12-08T14:39:30.000Z;null;null
2016-12-08T14:39:40.000Z;null;null
2016-12-08T14:39:50.000Z;null;null
2016-12-08T14:40:00.000Z;36153.93359375;13492.4423828125
2016-12-08T14:40:10.000Z;null;null
2016-12-08T14:40:20.000Z;null;null
2016-12-08T14:40:30.000Z;null;null
2016-12-08T14:40:40.000Z;null;null
2016-12-08T14:40:50.000Z;null;null
2016-12-08T14:41:00.000Z;30111.728515625;10511.1708984375
2016-12-08T14:41:10.000Z;null;null
2016-12-08T14:41:20.000Z;null;null
2016-12-08T14:41:30.000Z;null;null
2016-12-08T14:41:40.000Z;null;null
2016-12-08T14:41:50.000Z;null;null
2016-12-08T14:42:00.000Z;33297.796875;10933.146484375
2016-12-08T14:42:10.000Z;null;null
2016-12-08T14:42:20.000Z;null;null
2016-12-08T14:42:30.000Z;null;null
2016-12-08T14:42:40.000Z;null;null
2016-12-08T14:42:50.000Z;null;null
2016-12-08T14:43:00.000Z;34660.953125;12754.6708984375
2016-12-08T14:43:10.000Z;null;null
2016-12-08T14:43:20.000Z;null;null
2016-12-08T14:43:30.000Z;null;null
2016-12-08T14:43:40.000Z;null;null
2016-12-08T14:43:50.000Z;null;null
2016-12-08T14:44:00.000Z;34616.13671875;12740.0439453125
2016-12-08T14:44:10.000Z;null;null
2016-12-08T14:44:20.000Z;null;null
2016-12-08T14:44:30.000Z;null;null
2016-12-08T14:44:40.000Z;null;null
2016-12-08T14:44:50.000Z;null;null
2016-12-08T14:45:00.000Z;34046.4296875;9722.9892578125
2016-12-08T14:45:10.000Z;null;null
2016-12-08T14:45:20.000Z;null;null
2016-12-08T14:45:30.000Z;null;null
2016-12-08T14:45:40.000Z;null;null
2016-12-08T14:45:50.000Z;null;null
2016-12-08T14:46:00.000Z;40339.08984375;12954.27734375
2016-12-08T14:46:10.000Z;null;null
2016-12-08T14:46:20.000Z;null;null
2016-12-08T14:46:30.000Z;null;null
2016-12-08T14:46:40.000Z;null;null
2016-12-08T14:46:50.000Z;null;null
2016-12-08T14:47:00.000Z;41465.40625;14668.9921875
2016-12-08T14:47:10.000Z;null;null
2016-12-08T14:47:20.000Z;null;null
2016-12-08T14:47:30.000Z;null;null
2016-12-08T14:47:40.000Z;null;null
2016-12-08T14:47:50.000Z;null;null
2016-12-08T14:48:00.000Z;40698.65234375;13540.1865234375
2016-12-08T14:48:10.000Z;null;null
2016-12-08T14:48:20.000Z;null;null
2016-12-08T14:48:30.000Z;null;null
2016-12-08T14:48:40.000Z;null;null
2016-12-08T14:48:50.000Z;null;null
2016-12-08T14:49:00.000Z;45973.5625;16106.185546875
2016-12-08T14:49:10.000Z;null;null
2016-12-08T14:49:20.000Z;null;null
2016-12-08T14:49:30.000Z;null;null
2016-12-08T14:49:40.000Z;null;null
2016-12-08T14:49:50.000Z;null;null
2016-12-08T14:50:00.000Z;44366.16015625;11814.205078125
2016-12-08T14:50:10.000Z;null;null
2016-12-08T14:50:20.000Z;null;null
2016-12-08T14:50:30.000Z;null;null
2016-12-08T14:50:40.000Z;null;null
2016-12-08T14:50:50.000Z;null;null
2016-12-08T14:51:00.000Z;44138.984375;21683.341796875
2016-12-08T14:51:10.000Z;null;null
2016-12-08T14:51:20.000Z;null;null
2016-12-08T14:51:30.000Z;null;null
2016-12-08T14:51:40.000Z;null;null
2016-12-08T14:51:50.000Z;null;null
2016-12-08T14:52:00.000Z;32978.015625;18336.80078125
2016-12-08T14:52:10.000Z;null;null
2016-12-08T14:52:20.000Z;null;null
2016-12-08T14:52:30.000Z;null;null
2016-12-08T14:52:40.000Z;null;null
2016-12-08T14:52:50.000Z;null;null
2016-12-08T14:53:00.000Z;67214.34375;21029.029296875
2016-12-08T14:53:10.000Z;null;null
2016-12-08T14:53:20.000Z;null;null
2016-12-08T14:53:30.000Z;null;null
2016-12-08T14:53:40.000Z;null;null
2016-12-08T14:53:50.000Z;null;null
2016-12-08T14:54:00.000Z;69513.9375;22851.294921875
2016-12-08T14:54:10.000Z;null;null
2016-12-08T14:54:20.000Z;null;null
2016-12-08T14:54:30.000Z;null;null
2016-12-08T14:54:40.000Z;null;null
2016-12-08T14:54:50.000Z;null;null
2016-12-08T14:55:00.000Z;67003.6484375;20969.60546875
2016-12-08T14:55:10.000Z;null;null
2016-12-08T14:55:20.000Z;null;null
2016-12-08T14:55:30.000Z;null;null
2016-12-08T14:55:40.000Z;null;null
2016-12-08T14:55:50.000Z;null;null
2016-12-08T14:56:00.000Z;70059.6796875;22179.634765625
2016-12-08T14:56:10.000Z;null;null
2016-12-08T14:56:20.000Z;null;null
2016-12-08T14:56:30.000Z;null;null
2016-12-08T14:56:40.000Z;null;null
2016-12-08T14:56:50.000Z;null;null
2016-12-08T14:57:00.000Z;65909.6484375;64251.23046875
2016-12-08T14:57:10.000Z;null;null
2016-12-08T14:57:20.000Z;null;null
2016-12-08T14:57:30.000Z;null;null
2016-12-08T14:57:40.000Z;null;null
2016-12-08T14:57:50.000Z;null;null
2016-12-08T14:58:00.000Z;60662.2734375;17887.90234375
2016-12-08T14:58:10.000Z;null;null
2016-12-08T14:58:20.000Z;null;null
2016-12-08T14:58:30.000Z;null;null
2016-12-08T14:58:40.000Z;null;null
2016-12-08T14:58:50.000Z;null;null
2016-12-08T14:59:00.000Z;76583.875;41189.24609375
2016-12-08T14:59:10.000Z;null;null
2016-12-08T14:59:20.000Z;null;null
2016-12-08T14:59:30.000Z;null;null
2016-12-08T14:59:40.000Z;null;null
2016-12-08T14:59:50.000Z;null;null
2016-12-08T15:00:00.000Z;71665.8359375;23480.107421875
2016-12-08T15:00:10.000Z;null;null
2016-12-08T15:00:20.000Z;null;null
2016-12-08T15:00:30.000Z;null;null
2016-12-08T15:00:40.000Z;null;null
2016-12-08T15:00:50.000Z;null;null
2016-12-08T15:01:00.000Z;43494.8125;9861.91015625
2016-12-08T15:01:10.000Z;null;null
2016-12-08T15:01:20.000Z;null;null
2016-12-08T15:01:30.000Z;null;null
2016-12-08T15:01:40.000Z;null;null
2016-12-08T15:01:50.000Z;null;null
2016-12-08T15:02:00.000Z;33650.91796875;12472.6826171875
2016-12-08T15:02:10.000Z;null;null
2016-12-08T15:02:20.000Z;null;null
2016-12-08T15:02:30.000Z;null;null
2016-12-08T15:02:40.000Z;null;null
2016-12-08T15:02:50.000Z;null;null
2016-12-08T15:03:00.000Z;31899.0234375;10510.1875
2016-12-08T15:03:10.000Z;null;null
2016-12-08T15:03:20.000Z;null;null
2016-12-08T15:03:30.000Z;null;null
2016-12-08T15:03:40.000Z;null;null
2016-12-08T15:03:50.000Z;null;null
2016-12-08T15:04:00.000Z;34677.95703125;11645.08203125
2016-12-08T15:04:10.000Z;null;null
2016-12-08T15:04:20.000Z;null;null
2016-12-08T15:04:30.000Z;null;null
